participant,baseline,adapting,task,trial,temperature,accuracy,active_interval,active_zone,rt,repetition,baseline_flag
1,31.2,29.2,0,1,1.8,1,1,1,1.2282780999958,0,0
1,31.2,29.2,0,2,1.6,1,2,2,0.6398615000071,0,0
1,31.2,29.2,0,3,1.2,1,1,1,0.897729600008461,0,0
1,31.2,29.2,0,4,1,1,2,2,0.841887599992333,0,0
1,31.2,29.2,0,5,0.8,1,2,1,1.00154670000484,0,0
1,31.2,29.2,0,6,0.6,1,1,2,0.754293000005418,0,0
1,31.2,29.2,0,7,0.4,1,2,1,2.08871500000532,0,0
1,31.2,29.2,0,8,0.4,1,1,2,1.2547831999982,0,0
1,31.2,29.2,0,9,0.4,1,2,1,0.794156600008137,0,0
1,31.2,29.2,0,10,0.2,1,1,2,0.834778600008576,0,0
1,31.2,29.2,0,11,0.2,0,2,1,0.96922889999405,0,0
1,31.2,29.2,0,12,0.4,1,1,2,0.76882260000275,0,0
1,31.2,29.2,0,13,0.4,1,1,1,1.06458179999026,0,0
1,31.2,29.2,0,14,0.4,1,2,2,0.443757100001676,0,0
1,31.2,29.2,0,15,0.4,1,2,1,1.15317199999117,0,0
1,31.2,29.2,0,16,0.4,1,1,2,0.746432199986884,0,0
1,31.2,29.2,0,17,0.4,1,1,1,0.865401000002748,0,0
1,31.2,29.2,0,18,0.4,1,2,2,0.360909999988507,0,0
1,31.2,29.2,0,19,0.4,1,1,1,0.680642000006628,0,0
1,31.2,29.2,0,20,0.4,1,2,2,0.292860000001383,0,0
1,31.2,29.2,0,21,0.4,1,2,1,1.14347760000965,0,0
1,31.2,29.2,0,22,0.4,1,2,2,1.31187270001101,0,0
1,31.2,29.2,0,23,0.2,0,1,1,2.61070670001209,0,0
1,31.2,29.2,0,24,0.4,1,1,2,1.21789179999905,0,0
1,31.2,29.2,0,25,0.4,1,1,1,1.52262620000693,0,0
1,31.2,29.2,0,26,0.4,1,2,2,1.55326330001117,0,0
1,31.2,29.2,0,27,0.4,1,2,1,1.23930149999796,0,0
1,31.2,29.2,0,28,0.4,1,1,2,2.00389299998642,0,0
1,31.2,29.2,0,29,0.4,1,2,1,1.25542970000242,0,0
1,31.2,29.2,0,30,0.4,1,1,2,0.996333700008108,0,0
1,31.2,30.2,0,1,1.8,1,1,1,1.72181450000789,0,0
1,31.2,30.2,0,2,1.6,1,1,2,1.23323559999699,0,0
1,31.2,30.2,0,3,1.2,1,1,1,1.47589699999662,0,0
1,31.2,30.2,0,4,1,1,2,2,1.10377639999206,0,0
1,31.2,30.2,0,5,0.8,1,2,1,0.683155100006843,0,0
1,31.2,30.2,0,6,0.6,1,2,2,0.97081879999314,0,0
1,31.2,30.2,0,7,0.4,1,2,1,1.53845089999959,0,0
1,31.2,30.2,0,8,0.4,1,2,2,1.28108220000286,0,0
1,31.2,30.2,0,9,0.4,1,1,1,1.62892950000241,0,0
1,31.2,30.2,0,10,0.2,1,1,2,1.14609540000674,0,0
1,31.2,30.2,0,11,0.2,1,2,1,0.428047299996251,0,0
1,31.2,30.2,0,12,0.2,1,1,2,1.08528949999891,0,0
1,31.2,30.2,0,13,0.2,1,1,1,1.11972499999683,0,0
1,31.2,30.2,0,14,0.2,1,1,2,2.82574739999836,0,0
1,31.2,30.2,0,15,0.2,0,2,1,0.613117199987755,0,0
1,31.2,30.2,0,16,0.4,1,2,2,0.833501999994041,0,0
1,31.2,30.2,0,17,0.4,1,2,1,1.08155509999779,0,0
1,31.2,30.2,0,18,0.2,1,1,2,0.399694399995496,0,0
1,31.2,30.2,0,19,0.2,0,2,1,1.23752000000968,0,0
1,31.2,30.2,0,20,0.4,0,1,2,2.55234819999896,0,0
1,31.2,30.2,0,21,0.6,0,2,1,0.776098300004378,0,0
1,31.2,30.2,0,22,1,1,1,2,1.12789750000229,0,0
1,31.2,30.2,0,23,0.8,1,1,1,1.39212889999908,0,0
1,31.2,30.2,0,24,0.8,1,2,2,0.494256600009976,0,0
1,31.2,30.2,0,25,0.6,1,1,1,0.363204499997664,0,0
1,31.2,30.2,0,26,0.6,1,2,2,1.51799649999884,0,0
1,31.2,30.2,0,27,0.4,1,1,1,1.41291359999741,0,0
1,31.2,30.2,0,28,0.4,1,2,2,1.39334739999322,0,0
1,31.2,30.2,0,29,0.4,1,2,1,1.73999380000168,0,0
1,31.2,30.2,0,30,0.4,1,1,2,1.72897539999394,0,0
1,31.2,31.2,0,1,1.8,1,2,1,2.81515859998763,0,0
1,31.2,31.2,0,2,1.6,1,2,2,1.001574599999,0,0
1,31.2,31.2,0,3,1.2,1,2,1,1.01210120000178,0,0
1,31.2,31.2,0,4,1,0,1,2,1.41669630000251,0,0
1,31.2,31.2,0,5,1.8,0,1,1,1.1324076000019,0,0
1,31.2,31.2,0,6,3,1,1,2,1.258224899997,0,0
1,31.2,31.2,0,7,2.8,1,2,1,1.53798570000799,0,0
1,31.2,31.2,0,8,2.6,1,1,2,1.32225899999321,0,0
1,31.2,31.2,0,9,2.4,1,1,1,1.51486949999526,0,0
1,31.2,31.2,0,10,2.2,1,2,2,1.03239120000217,0,0
1,31.2,31.2,0,11,2.2,1,2,1,1.09545379999327,0,0
1,31.2,31.2,0,12,2,1,1,2,1.20407709998835,0,0
1,31.2,31.2,0,13,1.6,1,1,1,1.47299909999128,0,0
1,31.2,31.2,0,14,1.6,1,1,2,1.4820206000004,0,0
1,31.2,31.2,0,15,1.6,1,2,1,1.0574692000082,0,0
1,31.2,31.2,0,16,1.6,1,1,2,1.30673630000092,0,0
1,31.2,31.2,0,17,1.4,1,2,1,1.07275839999784,0,0
1,31.2,31.2,0,18,1.4,1,2,2,0.656597499997588,0,0
1,31.2,31.2,0,19,1.4,1,1,1,0.393343100004131,0,0
1,31.2,31.2,0,20,1.2,1,2,2,1.2159590000083,0,0
1,31.2,31.2,0,21,1.2,1,2,1,0.849234199995408,0,0
1,31.2,31.2,0,22,0.8,1,2,2,1.09821799999918,0,0
1,31.2,31.2,0,23,0.8,1,1,1,1.17172539999592,0,0
1,31.2,31.2,0,24,0.8,1,1,2,1.28795600000012,0,0
1,31.2,31.2,0,25,0.8,1,2,1,0.989411400005338,0,0
1,31.2,31.2,0,26,0.6,1,1,2,0.873214100007317,0,0
1,31.2,31.2,0,27,0.4,1,1,1,0.858168199993088,0,0
1,31.2,31.2,0,28,0.4,0,2,2,0.986130799996317,0,0
1,31.2,31.2,0,29,0.8,1,2,1,0.921518300005118,0,0
1,31.2,31.2,0,30,0.8,1,1,2,1.21211240001139,0,0
1,31.2,32.2,0,1,1.8,1,1,1,1.08816620000289,0,0
1,31.2,32.2,0,2,1.6,1,2,2,1.60561219998635,0,0
1,31.2,32.2,0,3,1.2,1,1,1,1.25589810000383,0,0
1,31.2,32.2,0,4,1,1,1,2,1.69763520000561,0,0
1,31.2,32.2,0,5,0.8,1,2,1,1.92177960000117,0,0
1,31.2,32.2,0,6,0.6,1,2,2,1.36125540001376,0,0
1,31.2,32.2,0,7,0.4,0,1,1,1.41129830000864,0,0
1,31.2,32.2,0,8,0.8,1,2,2,1.11235549999401,0,0
1,31.2,32.2,0,9,0.8,1,2,1,1.24335340000107,0,0
1,31.2,32.2,0,10,0.8,0,1,2,1.25964849999582,0,0
1,31.2,32.2,0,11,1.2,1,2,1,0.816741899994668,0,0
1,31.2,32.2,0,12,1.2,0,1,2,2.05967020000389,0,0
1,31.2,32.2,0,13,1.8,0,1,1,0.583692899992457,0,0
1,31.2,32.2,0,14,2.8,1,2,2,0.994847299996763,0,0
1,31.2,32.2,0,15,2.6,1,2,1,1.08238829999755,0,0
1,31.2,32.2,0,16,2.4,0,1,2,1.70654490000743,0,0
1,31.2,32.2,0,17,3.2,0,1,1,0.985817599997972,0,0
1,31.2,32.2,0,18,4,1,2,2,1.77926999999909,0,0
1,31.2,32.2,0,19,4,1,2,1,1.49960650000139,0,0
1,31.2,32.2,0,20,3.8,0,1,2,2.31541370000923,0,0
1,31.2,32.2,0,21,4.6,1,2,1,1.59351120000065,0,0
1,31.2,32.2,0,22,4.4,0,1,2,1.52318740000192,0,0
1,31.2,32.2,0,23,5.2,0,1,1,1.79165579999972,0,0
1,31.2,32.2,0,24,5.8,1,2,2,1.2518715000042,0,0
1,31.2,32.2,0,25,5,0,1,1,1.17063999999664,0,0
1,31.2,32.2,0,26,6.2,1,2,2,1.17904529999942,0,0
1,31.2,32.2,0,27,6.2,1,1,1,0.491052099998342,0,0
1,31.2,32.2,0,28,6.2,1,2,2,0.816995800007135,0,0
1,31.2,32.2,0,29,6,1,2,1,0.472056900005555,0,0
1,31.2,32.2,0,30,6,1,1,2,0.955172799993306,0,0
1,31.2,33.2,0,1,1.8,1,1,1,NaN,1,0
1,31.2,33.2,0,2,1.6,1,2,2,2.35126850000233,0,0
1,31.2,33.2,0,3,1.2,1,2,1,1.3947227000026,0,0
1,31.2,33.2,0,4,1,1,1,2,0.982185899993056,0,0
1,31.2,33.2,0,5,0.8,1,1,1,0.897225499997148,0,0
1,31.2,33.2,0,6,0.6,1,2,2,0.537144800007809,0,0
1,31.2,33.2,0,7,0.4,1,2,1,0.423028599994723,0,0
1,31.2,33.2,0,8,0.4,0,1,2,0.367974799999502,0,0
1,31.2,33.2,0,9,0.8,1,2,1,0.947420299999067,0,0
1,31.2,33.2,0,10,0.8,1,2,2,0.376193200005218,0,0
1,31.2,33.2,0,11,0.6,1,1,1,0.436581200003275,0,0
1,31.2,33.2,0,12,0.6,1,1,2,0.381998899989412,0,0
1,31.2,33.2,0,13,0.6,1,1,1,0.587036600001738,0,0
1,31.2,33.2,0,14,0.6,1,2,2,0.462637500007986,0,0
1,31.2,33.2,0,15,0.6,1,2,1,0.406199899996864,0,0
1,31.2,33.2,0,16,0.6,1,2,2,1.09613930000341,0,0
1,31.2,33.2,0,17,0.6,1,1,1,1.09528059999866,0,0
1,31.2,33.2,0,18,0.2,0,1,2,1.07856439999887,0,0
1,31.2,33.2,0,19,0.6,1,2,1,1.25456750000012,0,0
1,31.2,33.2,0,20,0.6,0,1,2,0.887769900000421,0,0
1,31.2,33.2,0,21,0.6,1,2,1,1.12699070000963,0,0
1,31.2,33.2,0,22,0.6,1,2,2,1.26940010000544,0,0
1,31.2,33.2,0,23,0.6,1,1,1,0.861251300011645,0,0
1,31.2,33.2,0,24,0.6,1,1,2,1.36720680000144,0,0
1,31.2,33.2,0,25,0.6,1,1,1,1.14554450000287,0,0
1,31.2,33.2,0,26,0.6,1,2,2,0.902883100003237,0,0
1,31.2,33.2,0,27,0.6,1,2,1,0.917838900000788,0,0
1,31.2,33.2,0,28,0.6,0,1,2,1.02796380000655,0,0
1,31.2,33.2,0,29,0.6,1,2,1,1.92540500000177,0,0
1,31.2,29.2,1,1,2.6,1,2,1,0.606701900003827,0,0
1,31.2,29.2,1,2,2,1,2,2,0.522683200004394,0,0
1,31.2,29.2,1,3,1.8,0,2,1,1.2847938999912,0,0
1,31.2,29.2,1,4,3,1,1,2,0.312325100007001,0,0
1,31.2,29.2,1,5,2.8,1,1,1,0.968681500002276,0,0
1,31.2,29.2,1,6,2.6,1,1,2,1.24668189999647,0,0
1,31.2,29.2,1,7,2.4,1,2,1,0.786177100002533,0,0
1,31.2,29.2,1,8,2.2,1,1,2,0.823775600001682,0,0
1,31.2,29.2,1,9,2.2,0,2,1,0.752073299998301,0,0
1,31.2,29.2,1,10,2.8,1,1,2,0.780451400001766,0,0
1,31.2,29.2,1,11,2.8,1,2,1,1.32882599999721,0,0
1,31.2,29.2,1,12,2.6,1,1,2,0.461103599998751,0,0
1,31.2,29.2,1,13,2.6,0,2,1,1.02378590000444,0,0
1,31.2,29.2,1,14,3.2,1,1,2,0.945035500000813,0,0
1,31.2,29.2,1,15,3,1,1,1,1.18791930000589,0,0
1,31.2,29.2,1,16,3,1,2,2,1.13454179999826,0,0
1,31.2,29.2,1,17,3,1,1,1,1.53047030000016,0,0
1,31.2,29.2,1,18,2.4,0,2,2,1.39869399998861,0,0
1,31.2,29.2,1,19,3,1,1,1,1.38663259999885,0,0
1,31.2,29.2,1,20,3,1,1,2,1.2099850000086,0,0
1,31.2,29.2,1,21,2.8,1,2,1,1.69030010000279,0,0
1,31.2,29.2,1,22,2.8,1,1,2,1.36299199999485,0,0
1,31.2,29.2,1,23,2.8,0,2,1,1.48747169999115,0,0
1,31.2,29.2,1,24,3.2,1,2,2,0.636107300000731,0,0
1,31.2,29.2,1,25,3.2,1,2,1,1.72891479999817,0,0
1,31.2,29.2,1,26,3.2,0,2,2,1.97087730000203,0,0
1,31.2,29.2,1,27,3.6,1,1,1,1.04195500000787,0,0
1,31.2,29.2,1,28,3.6,1,2,2,0.903667700011283,0,0
1,31.2,29.2,1,29,3.4,1,1,1,0.922146999990218,0,0
1,31.2,29.2,1,30,3.4,1,1,2,0.408675999991829,0,0
1,31.2,30.2,1,1,2.6,1,2,1,0.378300199998193,0,0
1,31.2,30.2,1,2,2,1,1,2,1.33788510000159,0,0
1,31.2,30.2,1,3,1.8,1,2,1,0.409572699994897,0,0
1,31.2,30.2,1,4,1.4,1,1,2,1.40203430000111,0,0
1,31.2,30.2,1,5,1.2,1,2,1,0.911990900000092,0,0
1,31.2,30.2,1,6,1,0,1,2,0.9830163000006,0,0
1,31.2,30.2,1,7,1.8,1,1,1,1.27951480000047,0,0
1,31.2,30.2,1,8,1.6,1,2,2,1.08868699999584,0,0
1,31.2,30.2,1,9,1.4,1,2,1,1.19927420000022,0,0
1,31.2,30.2,1,10,1.4,0,2,2,0.917267800003174,0,0
1,31.2,30.2,1,11,2,1,1,1,1.14280519999738,0,0
1,31.2,30.2,1,12,1.8,1,1,2,1.53510380000807,0,0
1,31.2,30.2,1,13,1.8,1,1,1,1.04139769999892,0,0
1,31.2,30.2,1,14,1.6,0,2,2,1.53894870000659,0,0
1,31.2,30.2,1,15,2,1,2,1,1.17087139999785,0,0
1,31.2,30.2,1,16,2,1,2,2,1.92337979999138,0,0
1,31.2,30.2,1,17,1.8,1,1,1,0.864457899995614,0,0
1,31.2,30.2,1,18,1.8,0,1,2,1.50734499999089,0,0
1,31.2,30.2,1,19,2.2,0,2,1,1.49681130000681,0,0
1,31.2,30.2,1,20,3,1,1,2,1.39230550000502,0,0
1,31.2,30.2,1,21,2.8,1,2,1,1.56769179999537,0,0
1,31.2,30.2,1,22,2.8,1,1,2,0.794352099997923,0,0
1,31.2,30.2,1,23,2.6,1,1,1,1.41970769999898,0,0
1,31.2,30.2,1,24,2.4,1,2,2,1.17229670000961,0,0
1,31.2,30.2,1,25,2.2,1,1,1,1.13536349999777,0,0
1,31.2,30.2,1,26,2.2,1,1,2,0.953324100002646,0,0
1,31.2,30.2,1,27,2,1,2,1,1.18839399999706,0,0
1,31.2,30.2,1,28,2,0,2,2,0.872623100003693,0,0
1,31.2,30.2,1,29,2.6,1,1,1,1.01021519998903,0,0
1,31.2,30.2,1,30,2.6,1,2,2,0.443253599994932,0,0
1,31.2,31.2,1,1,2.6,1,2,1,0.438041200002772,0,0
1,31.2,31.2,1,2,2,1,2,2,1.74548959999811,0,0
1,31.2,31.2,1,3,1.8,1,1,1,1.16221779999614,0,0
1,31.2,31.2,1,4,1.4,1,1,2,0.923768199994811,0,0
1,31.2,31.2,1,5,1.2,1,1,1,0.787284700010787,0,0
1,31.2,31.2,1,6,1,1,2,2,0.872066500000074,0,0
1,31.2,31.2,1,7,0.8,1,2,1,1.29778069999884,0,0
1,31.2,31.2,1,8,0.6,1,2,2,0.763034599993262,0,0
1,31.2,31.2,1,9,0.6,0,1,1,1.41858490000595,0,0
1,31.2,31.2,1,10,1,0,1,2,1.71664680000686,0,0
