participant,baseline,adapting,task,trial,temperature,accuracy,active_interval,active_zone,rt,repetition,baseline_flag,target_flag,deviation_flag,recorded_temperature
1,31.2,30.2,0,1,1.8,1,1,1,1.72181450000789,0,0,0,0,28.4
1,31.2,30.2,0,2,1.6,1,1,2,1.23323559999699,0,0,0,0,28.6
1,31.2,30.2,0,3,1.2,1,1,1,1.47589699999662,0,0,0,0,29
1,31.2,30.2,0,4,1,1,2,2,1.10377639999206,0,0,0,0,29.2
1,31.2,30.2,0,5,0.8,1,2,1,0.683155100006843,0,0,0,0,29.4
1,31.2,30.2,0,6,0.6,1,2,2,0.97081879999314,0,0,0,0,29.6
1,31.2,30.2,0,7,0.4,1,2,1,1.53845089999959,0,0,0,0,29.8
1,31.2,30.2,0,8,0.4,1,2,2,1.28108220000286,0,0,0,0,29.8
1,31.2,30.2,0,9,0.4,1,1,1,1.62892950000241,0,0,0,0,29.8
1,31.2,30.2,0,10,0.2,1,1,2,1.14609540000674,0,0,0,0,30
1,31.2,30.2,0,11,0.2,1,2,1,0.428047299996251,0,0,0,0,30
1,31.2,30.2,0,12,0.2,1,1,2,1.08528949999891,0,0,0,0,30
1,31.2,30.2,0,13,0.2,1,1,1,1.11972499999683,0,0,0,0,30
1,31.2,30.2,0,14,0.2,1,1,2,2.82574739999836,0,0,0,0,30
1,31.2,30.2,0,15,0.2,0,2,1,0.613117199987755,0,0,0,0,30
1,31.2,30.2,0,16,0.4,1,2,2,0.833501999994041,0,0,0,0,29.8
1,31.2,30.2,0,17,0.4,1,2,1,1.08155509999779,0,0,0,0,29.8
1,31.2,30.2,0,18,0.2,1,1,2,0.399694399995496,0,0,0,0,30
1,31.2,30.2,0,19,0.2,0,2,1,1.23752000000968,0,0,0,0,30
1,31.2,30.2,0,20,0.4,0,1,2,2.55234819999896,0,0,0,0,29.8
1,31.2,30.2,0,21,0.6,0,2,1,0.776098300004378,0,0,0,0,29.6
1,31.2,30.2,0,22,1,1,1,2,1.12789750000229,0,0,0,0,29.2
1,31.2,30.2,0,23,0.8,1,1,1,1.39212889999908,0,0,0,0,29.4
1,31.2,30.2,0,24,0.8,1,2,2,0.494256600009976,0,0,0,0,29.4
1,31.2,30.2,0,25,0.6,1,1,1,0.363204499997664,0,0,0,0,29.6
1,31.2,30.2,0,26,0.6,1,2,2,1.51799649999884,0,0,0,0,29.6
1,31.2,30.2,0,27,0.4,1,1,1,1.41291359999741,0,0,0,0,29.8
1,31.2,30.2,0,28,0.4,1,2,2,1.39334739999322,0,0,0,0,29.8
1,31.2,30.2,0,29,0.4,1,2,1,1.73999380000168,0,0,0,0,29.8
1,31.2,30.2,0,30,0.4,1,1,2,1.72897539999394,0,0,0,0,29.8
1,31.2,31.2,0,1,1.8,1,2,1,2.81515859998763,0,0,0,0,29.4
1,31.2,31.2,0,2,1.6,1,2,2,1.001574599999,0,0,0,0,29.5934782608696
1,31.2,31.2,0,3,1.2,1,2,1,1.01210120000178,0,0,0,0,30
1,31.2,31.2,0,4,1,0,1,2,1.41669630000251,0,0,0,0,30.2
1,31.2,31.2,0,5,1.8,0,1,1,1.1324076000019,0,0,0,0,29.4
1,31.2,31.2,0,6,3,1,1,2,1.258224899997,0,0,0,0,28.15
1,31.2,31.2,0,7,2.8,1,2,1,1.53798570000799,0,0,0,0,28.3457446808511
1,31.2,31.2,0,8,2.6,1,1,2,1.32225899999321,0,0,0,0,28.6
1,31.2,31.2,0,9,2.4,1,1,1,1.51486949999526,0,0,0,0,28.7989130434783
1,31.2,31.2,0,10,2.2,1,2,2,1.03239120000217,0,0,0,0,29
1,31.2,31.2,0,11,2.2,1,2,1,1.09545379999327,0,0,0,0,29
1,31.2,31.2,0,12,2,1,1,2,1.20407709998835,0,0,0,0,29.2
1,31.2,31.2,0,13,1.6,1,1,1,1.47299909999128,0,0,0,0,29.6
1,31.2,31.2,0,14,1.6,1,1,2,1.4820206000004,0,0,0,0,29.6
1,31.2,31.2,0,15,1.6,1,2,1,1.0574692000082,0,0,0,0,29.6
1,31.2,31.2,0,16,1.6,1,1,2,1.30673630000092,0,0,0,0,29.6
1,31.2,31.2,0,17,1.4,1,2,1,1.07275839999784,0,0,0,0,29.8
1,31.2,31.2,0,18,1.4,1,2,2,0.656597499997588,0,0,0,0,29.8
1,31.2,31.2,0,19,1.4,1,1,1,0.393343100004131,0,0,0,0,29.8
1,31.2,31.2,0,20,1.2,1,2,2,1.2159590000083,0,0,0,0,30
1,31.2,31.2,0,21,1.2,1,2,1,0.849234199995408,0,0,0,0,29.9566666666667
1,31.2,31.2,0,22,0.8,1,2,2,1.09821799999918,0,0,0,0,30.4
1,31.2,31.2,0,23,0.8,1,1,1,1.17172539999592,0,0,0,0,30.4
1,31.2,31.2,0,24,0.8,1,1,2,1.28795600000012,0,0,0,0,30.4
1,31.2,31.2,0,25,0.8,1,2,1,0.989411400005338,0,0,0,0,30.4
1,31.2,31.2,0,26,0.6,1,1,2,0.873214100007317,0,0,0,0,30.6
1,31.2,31.2,0,27,0.4,1,1,1,0.858168199993088,0,0,0,0,30.8
1,31.2,31.2,0,28,0.4,0,2,2,0.986130799996317,0,0,0,0,30.8
1,31.2,31.2,0,29,0.8,1,2,1,0.921518300005118,0,0,0,0,30.4
1,31.2,31.2,0,30,0.8,1,1,2,1.21211240001139,0,0,0,0,30.4
1,31.2,30.2,1,1,2.6,1,2,1,0.378300199998193,0,0,0,0,32.7
1,31.2,30.2,1,2,2,1,1,2,1.33788510000159,0,0,0,0,32.0988888888889
1,31.2,30.2,1,3,1.8,1,2,1,0.409572699994897,0,0,0,0,31.9
1,31.2,30.2,1,4,1.4,1,1,2,1.40203430000111,0,0,0,0,31.4989130434783
1,31.2,30.2,1,5,1.2,1,2,1,0.911990900000092,0,0,0,0,31.3
1,31.2,30.2,1,6,1,0,1,2,0.9830163000006,0,0,0,0,31.1
1,31.2,30.2,1,7,1.8,1,1,1,1.27951480000047,0,0,0,0,31.9
1,31.2,30.2,1,8,1.6,1,2,2,1.08868699999584,0,0,0,0,31.7
1,31.2,30.2,1,9,1.4,1,2,1,1.19927420000022,0,0,0,0,31.5
1,31.2,30.2,1,10,1.4,0,2,2,0.917267800003174,0,0,0,0,31.5
1,31.2,30.2,1,11,2,1,1,1,1.14280519999738,0,0,0,0,32.1044444444445
1,31.2,30.2,1,12,1.8,1,1,2,1.53510380000807,0,0,0,0,31.9
1,31.2,30.2,1,13,1.8,1,1,1,1.04139769999892,0,0,0,0,31.9
1,31.2,30.2,1,14,1.6,0,2,2,1.53894870000659,0,0,0,0,31.7
1,31.2,30.2,1,15,2,1,2,1,1.17087139999785,0,0,0,0,32.0955555555556
1,31.2,30.2,1,16,2,1,2,2,1.92337979999138,0,0,0,0,32.0966666666667
1,31.2,30.2,1,17,1.8,1,1,1,0.864457899995614,0,0,0,0,31.9
1,31.2,30.2,1,18,1.8,0,1,2,1.50734499999089,0,0,0,0,31.9
1,31.2,30.2,1,19,2.2,0,2,1,1.49681130000681,0,0,0,0,32.2978260869565
1,31.2,30.2,1,20,3,1,1,2,1.39230550000502,0,0,0,0,33.1086956521739
