participant,baseline,adapting,task,trial,temperature,rating,confirmed
1,31.2,29.2,0,1,25.2,43.2291666666667,1
1,31.2,29.2,0,2,28.935517222624,0.520833333333333,1
1,31.2,29.2,0,3,25.2,18.2291666666667,1
1,31.2,29.2,0,4,25.2,38.0208333333333,1
1,31.2,29.2,0,5,25.2,18.2291666666667,1
1,31.2,29.2,0,6,28.935517222624,5.72916666666667,1
1,31.2,29.2,0,7,28.935517222624,4.6875,1
1,31.2,29.2,0,8,28.935517222624,3.64583333333333,1
1,31.2,29.2,0,9,28.935517222624,5.72916666666667,1
1,31.2,29.2,0,10,25.2,29.6875,1
1,31.2,30.2,0,1,27.7603700242709,43.2291666666667,1
1,31.2,30.2,0,2,27.7603700242709,29.6875,1
1,31.2,30.2,0,3,26.2,40.1041666666667,1
1,31.2,30.2,0,4,26.2,29.6875,1
1,31.2,30.2,0,5,26.2,23.4375,1
1,31.2,30.2,0,6,27.7603700242709,9.89583333333333,1
1,31.2,30.2,0,7,26.2,23.4375,1
1,31.2,30.2,0,8,27.7603700242709,14.0625,1
1,31.2,30.2,0,9,26.2,17.1875,1
1,31.2,30.2,0,10,27.7603700242709,30.7291666666667,1
1,31.2,31.2,0,1,27.2,42.1875,1
1,31.2,31.2,0,2,27.2,51.5625,1
1,31.2,31.2,0,3,30.198815069864,0,1
1,31.2,31.2,0,4,30.198815069864,0,1
1,31.2,31.2,0,5,27.2,20.3125,1
1,31.2,31.2,0,6,30.198815069864,11.9791666666667,1
1,31.2,31.2,0,7,30.198815069864,0,1
1,31.2,31.2,0,8,30.198815069864,8.85416666666667,1
1,31.2,31.2,0,9,27.2,30.7291666666667,1
1,31.2,31.2,0,10,27.2,47.3958333333333,1
1,31.2,32.2,0,1,28.2,7.8125,1
1,31.2,32.2,0,2,28.2,9.89583333333333,1
1,31.2,32.2,0,3,24.7816738254381,20.3125,1
1,31.2,32.2,0,4,24.7816738254381,18.2291666666667,1
1,31.2,32.2,0,5,28.2,5.72916666666667,1
1,31.2,32.2,0,6,24.7816738254381,41.1458333333333,1
1,31.2,32.2,0,7,24.7816738254381,19.2708333333333,1
1,31.2,32.2,0,8,28.2,11.9791666666667,1
1,31.2,32.2,0,9,28.2,6.77083333333333,1
1,31.2,32.2,0,10,24.7816738254381,22.3958333333333,1
1,31.2,33.2,0,1,29.2,42.1875,1
1,31.2,33.2,0,2,32.4720204348703,17.1875,1
1,31.2,33.2,0,3,29.2,28.6458333333333,1
1,31.2,33.2,0,4,29.2,39.0625,1
1,31.2,33.2,0,5,32.4720204348703,6.77083333333333,1
1,31.2,33.2,0,6,32.4720204348703,6.77083333333333,1
1,31.2,33.2,0,7,29.2,15.1041666666667,1
1,31.2,33.2,0,8,32.4720204348703,13.0208333333333,1
1,31.2,33.2,0,9,32.4720204348703,13.0208333333333,1
1,31.2,33.2,0,10,29.2,35.9375,1
1,31.2,29.2,1,1,32.2330411920438,2.60416666666667,1
1,31.2,29.2,1,2,32.2330411920438,3.64583333333333,1
1,31.2,29.2,1,3,37.2,40.1041666666667,1
1,31.2,29.2,1,4,37.2,39.0625,1
1,31.2,29.2,1,5,37.2,21.3541666666667,1
1,31.2,29.2,1,6,32.2330411920438,3.64583333333333,1
1,31.2,29.2,1,7,32.2330411920438,0,1
1,31.2,29.2,1,8,37.2,30.7291666666667,1
1,31.2,29.2,1,9,32.2330411920438,0,1
1,31.2,29.2,1,10,37.2,36.9791666666667,1
1,31.2,30.2,1,1,33.3435173143747,9.89583333333333,1
1,31.2,30.2,1,2,33.3435173143747,21.3541666666667,1
1,31.2,30.2,1,3,33.3435173143747,4.6875,1
1,31.2,30.2,1,4,38.2,32.8125,1
1,31.2,30.2,1,5,33.3435173143747,8.85416666666667,1
1,31.2,30.2,1,6,38.2,38.0208333333333,1
1,31.2,30.2,1,7,38.2,24.4791666666667,1
1,31.2,30.2,1,8,38.2,31.7708333333333,1
1,31.2,30.2,1,9,33.3435173143747,3.64583333333333,1
1,31.2,30.2,1,10,38.2,42.1875,1
1,31.2,31.2,1,1,34.8415613842286,45.3125,1
1,31.2,31.2,1,2,34.8415613842286,6.77083333333333,1
1,31.2,31.2,1,3,34.8415613842286,25.5208333333333,1
1,31.2,31.2,1,4,39.2,43.2291666666667,1
1,31.2,31.2,1,5,34.8415613842286,31.7708333333333,1
1,31.2,31.2,1,6,39.2,44.2708333333333,1
1,31.2,31.2,1,7,39.2,42.1875,1
1,31.2,31.2,1,8,39.2,8.85416666666667,1
1,31.2,31.2,1,9,39.2,36.9791666666667,1
1,31.2,31.2,1,10,34.8415613842286,5.72916666666667,1
1,31.2,32.2,1,1,40.2,48.4375,1
1,31.2,32.2,1,2,40.2,40.1041666666667,1
1,31.2,32.2,1,3,40.2,21.3541666666667,1
1,31.2,32.2,1,4,40.2,19.2708333333333,1
1,31.2,32.2,1,5,34.6356355786087,13.0208333333333,1
1,31.2,32.2,1,6,34.6356355786087,5.72916666666667,1
1,31.2,32.2,1,7,40.2,30.7291666666667,1
1,31.2,32.2,1,8,34.6356355786087,7.8125,1
1,31.2,32.2,1,9,34.6356355786087,6.77083333333333,1
1,31.2,32.2,1,10,34.6356355786087,5.72916666666667,1
