participant,baseline,adapting,task,trial,temperature,rating,confirmed,baseline_flag,target_flag,deviation_flag,recorded_temperature
1,31.2,30.2,0,1,27.7603700242709,43.2291666666667,1,0,0,0,27.7880434782609
1,31.2,30.2,0,2,27.7603700242709,29.6875,1,0,0,0,27.8282608695652
1,31.2,30.2,0,3,26.2,40.1041666666667,1,0,0,0,26.1770833333333
1,31.2,30.2,0,4,26.2,29.6875,1,0,0,0,26.179347826087
1,31.2,30.2,0,5,26.2,23.4375,1,0,0,0,26.1943181818182
1,31.2,30.2,0,6,27.7603700242709,9.89583333333333,1,0,0,0,27.8244680851064
1,31.2,30.2,0,7,26.2,23.4375,1,0,0,0,26.1880434782609
1,31.2,30.2,0,8,27.7603700242709,14.0625,1,0,0,0,27.8088888888889
1,31.2,30.2,0,9,26.2,17.1875,1,0,0,0,26.2
1,31.2,30.2,0,10,27.7603700242709,30.7291666666667,1,0,0,0,27.8072916666667
1,31.2,31.2,0,1,27.2,42.1875,1,0,0,0,27.1
1,31.2,31.2,0,2,27.2,51.5625,1,0,0,0,27.1
1,31.2,31.2,0,3,30.198815069864,0,1,0,0,0,30.2
1,31.2,31.2,0,4,30.198815069864,0,1,0,0,0,30.2
1,31.2,31.2,0,5,27.2,20.3125,1,0,0,0,27.1
1,31.2,31.2,0,6,30.198815069864,11.9791666666667,1,0,0,0,30.2
1,31.2,31.2,0,7,30.198815069864,0,1,0,0,0,30.2
1,31.2,31.2,0,8,30.198815069864,8.85416666666667,1,0,0,0,30.2
1,31.2,31.2,0,9,27.2,30.7291666666667,1,0,0,0,27.1
1,31.2,31.2,0,10,27.2,47.3958333333333,1,0,0,0,27.1
1,31.2,30.2,1,1,33.3435173143747,9.89583333333333,1,0,0,0,33.1955555555556
1,31.2,30.2,1,2,33.3435173143747,21.3541666666667,1,0,0,0,33.1891304347826
1,31.2,30.2,1,3,33.3435173143747,4.6875,1,0,0,0,33.2
1,31.2,30.2,1,4,38.2,32.8125,1,0,0,1,38.1021739130435
1,31.2,30.2,1,5,33.3435173143747,8.85416666666667,1,0,0,0,33.2
1,31.2,30.2,1,6,38.2,38.0208333333333,1,0,0,0,38.1133333333333
1,31.2,30.2,1,7,38.2,24.4791666666667,1,0,0,0,38.1152173913043
1,31.2,30.2,1,8,38.2,31.7708333333333,1,0,0,0,38.1163043478261
1,31.2,30.2,1,9,33.3435173143747,3.64583333333333,1,0,0,0,33.1847826086956
1,31.2,30.2,1,10,38.2,42.1875,1,0,0,0,38.1119565217391
1,31.2,31.2,1,1,34.8415613842286,45.3125,1,0,1,0,34.654347826087
1,31.2,31.2,1,2,34.8415613842286,6.77083333333333,1,0,1,0,34.64
1,31.2,31.2,1,3,34.8415613842286,25.5208333333333,1,0,0,0,34.6782608695652
1,31.2,31.2,1,4,39.2,43.2291666666667,1,0,0,0,39.0467391304348
1,31.2,31.2,1,5,34.8415613842286,31.7708333333333,1,0,0,0,34.6755555555555
1,31.2,31.2,1,6,39.2,44.2708333333333,1,0,0,0,39.0632653061225
1,31.2,31.2,1,7,39.2,42.1875,1,0,0,0,39.0863636363636
1,31.2,31.2,1,8,39.2,8.85416666666667,1,0,0,0,39.0648936170213
1,31.2,31.2,1,9,39.2,36.9791666666667,1,1,0,0,39.0911111111111
1,31.2,31.2,1,10,34.8415613842286,5.72916666666667,1,0,1,0,34.6554347826087
3,32,30,0,1,26,10.4166666666667,1,0,0,0,25.9
3,32,30,0,2,29.6724179423473,0,1,0,0,0,29.7
3,32,30,0,3,26,7.8125,1,0,0,0,25.9
3,32,30,0,4,26,15.1041666666667,1,0,0,0,25.9
3,32,30,0,5,26,4.16666666666667,1,0,0,0,25.9
3,32,30,0,6,29.6724179423473,1.04166666666667,1,0,0,0,29.7
3,32,30,0,7,29.6724179423473,0,1,0,0,0,29.7
3,32,30,0,8,29.6724179423473,1.04166666666667,1,0,0,0,29.7
3,32,30,0,9,29.6724179423473,0,1,0,0,0,29.7
3,32,30,0,10,26,5.20833333333333,1,0,0,0,25.9
3,32,31,0,1,30.7420247615629,1.04166666666667,1,0,0,0,30.7
3,32,31,0,2,30.7420247615629,0,1,0,0,0,30.7
3,32,31,0,3,27,33.8541666666667,1,0,0,0,26.9
3,32,31,0,4,27,31.25,1,0,0,0,26.9
3,32,31,0,5,27,28.6458333333333,1,0,0,0,26.9
3,32,31,0,6,30.7420247615629,2.60416666666667,1,0,0,0,30.7
3,32,31,0,7,27,11.9791666666667,1,0,0,0,26.9
3,32,31,0,8,30.7420247615629,1.04166666666667,1,0,0,0,30.7
3,32,31,0,9,27,7.8125,1,0,0,0,26.9
3,32,31,0,10,30.7420247615629,2.60416666666667,1,0,0,0,30.7
3,32,34,0,1,30,41.1458333333333,1,0,0,0,29.9113636363636
3,32,34,0,2,33.5136330979591,1.5625,1,1,0,0,33.5
3,32,34,0,3,30,35.4166666666667,1,0,0,0,29.9141304347826
3,32,34,0,4,30,38.5416666666667,1,1,0,0,29.9
3,32,34,0,5,33.5136330979591,0,1,1,0,0,33.5
3,32,34,0,6,33.5136330979591,0,1,0,0,0,33.5
3,32,34,0,7,30,11.9791666666667,1,0,0,0,29.9144444444444
3,32,34,0,8,33.5136330979591,0,1,1,0,0,33.5
3,32,34,0,9,33.5136330979591,0,1,0,0,0,33.5
3,32,34,0,10,30,6.77083333333333,1,0,0,0,29.9
3,32,30,1,1,33.5699393121336,8.33333333333333,1,0,0,0,33.4702127659574
3,32,30,1,2,33.5699393121336,0,1,0,0,0,33.4944444444444
3,32,30,1,3,38,11.4583333333333,1,0,0,0,37.8808510638298
3,32,30,1,4,38,19.2708333333333,1,0,0,0,37.8488636363636
3,32,30,1,5,38,9.89583333333333,1,0,0,0,37.8826086956522
