dataset,model,mu_log_beta,mu_hlogit_lambda,mu_kappa,tau_log_beta,tau_hlogit_lambda,tau_kappa,participant,beta,lambda,kappa,recorded_baseline_temperature,absolute_adapting_temperature,trial,absolute_target_temperature,choice_accuracy,active_interval
1,r,-0.732230173382963,-3.60690210825834,-0.170107086325031,0.0688516051779771,1.36303576793996,1.56968177056788,1,0.462391847018833,0.00731926259539384,-2.27266170823702,32,30,1,32.6,1,2
1,r,-0.732230173382963,-3.60690210825834,-0.170107086325031,0.0688516051779771,1.36303576793996,1.56968177056788,1,0.462391847018833,0.00731926259539384,-2.27266170823702,32,30,2,32.2,1,2
1,r,-0.732230173382963,-3.60690210825834,-0.170107086325031,0.0688516051779771,1.36303576793996,1.56968177056788,1,0.462391847018833,0.00731926259539384,-2.27266170823702,32,30,3,31.8,1,2
1,r,-0.732230173382963,-3.60690210825834,-0.170107086325031,0.0688516051779771,1.36303576793996,1.56968177056788,1,0.462391847018833,0.00731926259539384,-2.27266170823702,32,30,4,31.6,0,1
1,r,-0.732230173382963,-3.60690210825834,-0.170107086325031,0.0688516051779771,1.36303576793996,1.56968177056788,1,0.462391847018833,0.00731926259539384,-2.27266170823702,32,30,5,32.6,0,1
1,r,-0.732230173382963,-3.60690210825834,-0.170107086325031,0.0688516051779771,1.36303576793996,1.56968177056788,1,0.462391847018833,0.00731926259539384,-2.27266170823702,32,30,6,33.8,1,1
1,r,-0.732230173382963,-3.60690210825834,-0.170107086325031,0.0688516051779771,1.36303576793996,1.56968177056788,1,0.462391847018833,0.00731926259539384,-2.27266170823702,32,30,7,33.6,1,1
1,r,-0.732230173382963,-3.60690210825834,-0.170107086325031,0.0688516051779771,1.36303576793996,1.56968177056788,1,0.462391847018833,0.00731926259539384,-2.27266170823702,32,30,8,33.4,0,1
1,r,-0.732230173382963,-3.60690210825834,-0.170107086325031,0.0688516051779771,1.36303576793996,1.56968177056788,1,0.462391847018833,0.00731926259539384,-2.27266170823702,32,30,9,34.4,1,2
1,r,-0.732230173382963,-3.60690210825834,-0.170107086325031,0.0688516051779771,1.36303576793996,1.56968177056788,1,0.462391847018833,0.00731926259539384,-2.27266170823702,32,30,10,34.2,1,2
1,r,-0.732230173382963,-3.60690210825834,-0.170107086325031,0.0688516051779771,1.36303576793996,1.56968177056788,1,0.462391847018833,0.00731926259539384,-2.27266170823702,32,30,11,34,1,2
1,r,-0.732230173382963,-3.60690210825834,-0.170107086325031,0.0688516051779771,1.36303576793996,1.56968177056788,1,0.462391847018833,0.00731926259539384,-2.27266170823702,32,30,12,34,1,1
1,r,-0.732230173382963,-3.60690210825834,-0.170107086325031,0.0688516051779771,1.36303576793996,1.56968177056788,1,0.462391847018833,0.00731926259539384,-2.27266170823702,32,30,13,34,0,1
1,r,-0.732230173382963,-3.60690210825834,-0.170107086325031,0.0688516051779771,1.36303576793996,1.56968177056788,1,0.462391847018833,0.00731926259539384,-2.27266170823702,32,30,14,34.6,0,1
1,r,-0.732230173382963,-3.60690210825834,-0.170107086325031,0.0688516051779771,1.36303576793996,1.56968177056788,1,0.462391847018833,0.00731926259539384,-2.27266170823702,32,30,15,35.4,0,1
1,r,-0.732230173382963,-3.60690210825834,-0.170107086325031,0.0688516051779771,1.36303576793996,1.56968177056788,1,0.462391847018833,0.00731926259539384,-2.27266170823702,32,30,16,36.2,1,2
1,r,-0.732230173382963,-3.60690210825834,-0.170107086325031,0.0688516051779771,1.36303576793996,1.56968177056788,1,0.462391847018833,0.00731926259539384,-2.27266170823702,32,30,17,36,1,2
1,r,-0.732230173382963,-3.60690210825834,-0.170107086325031,0.0688516051779771,1.36303576793996,1.56968177056788,1,0.462391847018833,0.00731926259539384,-2.27266170823702,32,30,18,35,1,2
1,r,-0.732230173382963,-3.60690210825834,-0.170107086325031,0.0688516051779771,1.36303576793996,1.56968177056788,1,0.462391847018833,0.00731926259539384,-2.27266170823702,32,30,19,35,1,2
1,r,-0.732230173382963,-3.60690210825834,-0.170107086325031,0.0688516051779771,1.36303576793996,1.56968177056788,1,0.462391847018833,0.00731926259539384,-2.27266170823702,32,30,20,35,1,2
1,r,-0.732230173382963,-3.60690210825834,-0.170107086325031,0.0688516051779771,1.36303576793996,1.56968177056788,1,0.462391847018833,0.00731926259539384,-2.27266170823702,32,30,21,35,0,1
1,r,-0.732230173382963,-3.60690210825834,-0.170107086325031,0.0688516051779771,1.36303576793996,1.56968177056788,1,0.462391847018833,0.00731926259539384,-2.27266170823702,32,30,22,36.4,0,1
1,r,-0.732230173382963,-3.60690210825834,-0.170107086325031,0.0688516051779771,1.36303576793996,1.56968177056788,1,0.462391847018833,0.00731926259539384,-2.27266170823702,32,30,23,36,1,2
1,r,-0.732230173382963,-3.60690210825834,-0.170107086325031,0.0688516051779771,1.36303576793996,1.56968177056788,1,0.462391847018833,0.00731926259539384,-2.27266170823702,32,30,24,37.2,1,1
1,r,-0.732230173382963,-3.60690210825834,-0.170107086325031,0.0688516051779771,1.36303576793996,1.56968177056788,1,0.462391847018833,0.00731926259539384,-2.27266170823702,32,30,25,35.8,1,2
1,r,-0.732230173382963,-3.60690210825834,-0.170107086325031,0.0688516051779771,1.36303576793996,1.56968177056788,1,0.462391847018833,0.00731926259539384,-2.27266170823702,32,30,26,37.6,1,1
1,r,-0.732230173382963,-3.60690210825834,-0.170107086325031,0.0688516051779771,1.36303576793996,1.56968177056788,1,0.462391847018833,0.00731926259539384,-2.27266170823702,32,30,27,35,1,2
